Epoch,Loss,Reward,Queue_Size,Task_Delay
1,1.53536057472229,9.534965605902286,47,4.6277463011061695
2,1.7352731227874756,-2.481123219187413,34,2.694265041430057
3,1.7370154857635498,3.6834877709322154,37,1.6710063946434652
4,1.58485746383667,6.777486667304904,16,9.985433857342024
5,0.1567741334438324,-1.2833093997359164,29,7.293118674046264
6,1.3142609596252441,-3.055002170890517,6,2.2868552721206563
7,2.2684683799743652,2.0888325189567993,37,3.5500249677410745
8,0.16287699341773987,-1.7419347196315416,0,8.384299204769711
9,0.8427675366401672,-1.4702331949327148,10,8.618601390765757
10,0.263918936252594,-1.3718669553578384,47,7.267068471126172
